Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,72,27.7635,0,10.0,-1,0.001,1.0,1,27.7635,0,0.001,SAT,,0.03,
2,1,19,12.5951,0,10.0,-1,0.001,1.0,1,12.5951,1,0.002,SAT,,0.029,
3,2,19,42.2132,0,10.0,-1,0.001,1.0,1,42.2132,1,0.003,SAT,,0.029,
4,1,6,51.7922,0,10.0,-1,0.001,1.0,1,51.7922,1,0.004,SAT,,0.028,
5,3,19,32.1794,0,10.0,-1,0.001,1.0,1,32.1794,1,0.005,SAT,,0.03,
6,1,64,50.0395,0,10.0,-1,0.001,1.0,1,50.0395,1,0.006,SAT,,0.029,
7,4,64,68.7637,0,10.0,-1,0.001,1.0,1,68.7637,1,0.007,SAT,,0.029,
8,1,33,23.7074,0,10.0,-1,0.001,1.0,1,23.7074,1,0.008,SAT,,0.03,
9,5,72,42.2767,0,10.0,-1,0.001,1.0,1,42.2767,1,0.009000000000000001,SAT,,0.029,
10,1,9,29.9268,0,10.0,-1,0.001,1.0,1,29.9268,1,0.010000000000000002,SAT,,0.029,
11,6,33,11.9782,0,10.0,-1,0.001,1.0,1,11.9782,1,0.011000000000000003,SAT,,0.029,
12,6,64,16.7008,0,10.0,-1,0.001,1.0,1,16.7008,1,0.012000000000000004,SAT,,0.029,
13,6,9,90.3584,0,10.0,-1,0.001,1.0,1,90.3584,1,0.013000000000000005,SAT,,0.029,
14,1,58,60.4265,0,10.0,-1,0.001,1.0,1,60.4265,2,0.014000000000000005,SAT,,0.028,
15,7,9,27.9773,0,10.0,-1,0.001,1.0,1,27.9773,2,0.015000000000000006,SAT,,0.029,
16,7,64,52.324,0,10.0,-1,0.001,1.0,1,52.324,2,0.016000000000000007,SAT,,0.028,
17,7,33,25.0162,0,10.0,-1,0.001,1.0,1,25.0162,2,0.017000000000000008,SAT,,0.028,
18,1,21,15.2368,0,10.0,-1,0.001,1.0,1,15.2368,2,0.01800000000000001,SAT,,0.029,
19,3,9,0.7287,0,10.0,-1,0.001,1.0,1,0.7287,2,0.01900000000000001,SAT,,0.029,
20,3,64,148.0972,0,10.0,-1,0.001,1.0,1,148.0972,2,0.02000000000000001,SAT,,0.029,
21,3,58,161.3565,0,10.0,-1,0.001,1.0,1,161.3565,2,0.02100000000000001,SAT,,0.03,
22,1,57,60.5514,0,10.0,-1,0.001,1.0,1,60.5514,2,0.022000000000000013,SAT,,0.029,
23,8,19,12.3066,0,10.0,-1,0.001,1.0,1,12.3066,2,0.023000000000000013,SAT,,0.028,
24,8,58,62.4991,0,10.0,-1,0.001,1.0,1,62.4991,2,0.024000000000000014,SAT,,0.029,
25,8,57,62.6263,0,10.0,-1,0.001,1.0,1,62.6263,2,0.025000000000000015,SAT,,0.029,
26,1,51,51.5134,0,10.0,-1,0.001,1.0,1,51.5134,3,0.026000000000000016,SAT,,0.029,
27,9,51,69.4868,0,10.0,-1,0.001,1.0,1,69.4868,3,0.027000000000000017,SAT,,0.029,
28,1,44,32.2511,0,10.0,-1,0.001,1.0,1,32.2511,3,0.028000000000000018,SAT,,0.028,
29,10,51,45.77,0,10.0,-1,0.001,1.0,1,45.77,3,0.02900000000000002,SAT,,0.029,
30,10,6,58.6717,0,10.0,-1,0.001,1.0,1,58.6717,3,0.03000000000000002,SAT,,0.028,
31,10,72,22.9984,0,10.0,-1,0.001,1.0,1,22.9984,3,0.03100000000000002,SAT,,0.03,
32,10,33,20.6046,0,10.0,-1,0.001,1.0,1,20.6046,3,0.03200000000000002,SAT,,0.029,
33,10,58,54.5235,0,10.0,-1,0.001,1.0,1,54.5235,3,0.03300000000000002,SAT,,0.028,
34,10,64,44.3863,0,10.0,-1,0.001,1.0,1,44.3863,3,0.03400000000000002,SAT,,0.029,
35,10,44,27.1529,0,10.0,-1,0.001,1.0,1,27.1529,3,0.035000000000000024,SAT,,0.03,
36,10,9,35.3404,0,10.0,-1,0.001,1.0,1,35.3404,3,0.036000000000000025,SAT,,0.029,
37,10,57,54.6414,0,10.0,-1,0.001,1.0,1,54.6414,3,0.037000000000000026,SAT,,0.03,
38,10,21,15.6784,0,10.0,-1,0.001,1.0,1,15.6784,3,0.03800000000000003,SAT,,0.029,
39,10,19,13.7663,0,10.0,-1,0.001,1.0,1,13.7663,3,0.03900000000000003,SAT,,0.029,
40,10,37,19.5327,0,10.0,-1,0.001,1.0,1,19.5327,4,0.04000000000000003,SAT,,0.029,
41,11,9,17.9249,0,10.0,-1,0.001,1.0,1,17.9249,4,0.04100000000000003,SAT,,0.029,
42,11,57,78.2157,0,10.0,-1,0.001,1.0,1,78.2157,4,0.04200000000000003,SAT,,0.031,
43,11,37,36.0745,0,10.0,-1,0.001,1.0,1,36.0745,4,0.04300000000000003,SAT,,0.029,
44,10,17,12.9391,0,10.0,-1,0.001,1.0,1,12.9391,4,0.04400000000000003,SAT,,0.029,
45,12,37,5.7664,0,10.0,-1,0.001,1.0,1,5.7664,4,0.04500000000000003,SAT,,0.03,
46,12,19,54.5085,0,10.0,-1,0.001,1.0,1,54.5085,4,0.046000000000000034,SAT,,0.029,
47,12,6,159.9684,0,10.0,-1,0.001,1.0,1,159.9684,4,0.047000000000000035,SAT,,0.028,
48,10,11,24.6695,0,10.0,-1,0.001,1.0,1,24.6695,4,0.048000000000000036,SAT,,0.028,
49,13,9,17.744,0,10.0,-1,0.001,1.0,1,17.744,4,0.04900000000000004,SAT,,0.029,
50,13,11,10.4738,0,10.0,-1,0.001,1.0,1,10.4738,4,0.05000000000000004,SAT,,0.029,
51,13,19,11.7202,0,10.0,-1,0.001,1.0,1,11.7202,4,0.05100000000000004,SAT,,0.029,
52,13,17,8.0735,0,10.0,-1,0.001,1.0,1,8.0735,4,0.05200000000000004,SAT,,0.03,
53,13,33,34.2249,0,10.0,-1,0.001,1.0,1,34.2249,4,0.05300000000000004,SAT,,0.029,
54,13,37,36.3212,0,10.0,-1,0.001,1.0,1,36.3212,4,0.05400000000000004,SAT,,0.028,
55,13,44,48.087,0,10.0,-1,0.001,1.0,1,48.087,4,0.05500000000000004,SAT,,0.028,
56,10,27,21.1892,0,10.0,-1,0.001,1.0,1,21.1892,5,0.05600000000000004,SAT,,0.029,
57,14,51,20.6312,0,10.0,-1,0.001,1.0,1,20.6312,5,0.057000000000000044,SAT,,0.029,
58,14,64,19.8,0,10.0,-1,0.001,1.0,1,19.8,5,0.058000000000000045,SAT,,0.029,
59,14,27,21.9802,0,10.0,-1,0.001,1.0,1,21.9802,5,0.059000000000000045,SAT,,0.029,
60,14,6,110.8309,0,10.0,-1,0.001,1.0,1,110.8309,5,0.060000000000000046,SAT,,0.029,
61,14,72,3.8506,0,10.0,-1,0.001,1.0,1,3.8506,5,0.06100000000000005,SAT,,0.029,
62,14,58,28.4076,0,10.0,-1,0.001,1.0,1,28.4076,5,0.06200000000000005,SAT,,0.029,
63,14,19,30.9699,0,10.0,-1,0.001,1.0,1,30.9699,5,0.06300000000000004,SAT,,0.029,
64,14,11,62.1702,0,10.0,-1,0.001,1.0,1,62.1702,5,0.06400000000000004,SAT,,0.028,
65,14,44,5.9655,0,10.0,-1,0.001,1.0,1,5.9655,5,0.06500000000000004,SAT,,0.029,
66,14,33,11.6355,0,10.0,-1,0.001,1.0,1,11.6355,5,0.06600000000000004,SAT,,0.029,
67,14,9,78.5224,0,10.0,-1,0.001,1.0,1,78.5224,5,0.06700000000000005,SAT,,0.029,
68,14,57,28.483,0,10.0,-1,0.001,1.0,1,28.483,5,0.06800000000000005,SAT,,0.029,
69,14,37,5.2708,0,10.0,-1,0.001,1.0,1,5.2708,5,0.06900000000000005,SAT,,0.029,
70,14,17,34.8528,0,10.0,-1,0.001,1.0,1,34.8528,5,0.07000000000000005,SAT,,0.029,
71,14,21,28.4147,0,10.0,-1,0.001,1.0,1,28.4147,5,0.07100000000000005,SAT,,0.029,
72,10,16,13.1832,0,10.0,-1,0.001,1.0,1,13.1832,5,0.07200000000000005,SAT,,0.03,
73,15,17,26.9151,0,10.0,-1,0.001,1.0,1,26.9151,5,0.07300000000000005,SAT,,0.029,
74,10,5,68.3817,0,10.0,-1,0.001,1.0,1,68.3817,6,0.07400000000000005,SAT,,0.029,
75,16,5,163.3888,0,10.0,-1,0.001,1.0,1,163.3888,6,0.07500000000000005,SAT,,0.028,
76,10,41,21.9535,0,10.0,-1,0.001,1.0,1,21.9535,6,0.07600000000000005,SAT,,0.029,
77,17,9,0.8479,0,10.0,-1,0.001,1.0,1,0.8479,6,0.07700000000000005,SAT,,0.03,
78,17,51,139.7502,0,10.0,-1,0.001,1.0,1,139.7502,6,0.07800000000000006,SAT,,0.029,
79,17,5,11.153,0,10.0,-1,0.001,1.0,1,11.153,6,0.07900000000000006,SAT,,0.03,
80,10,50,43.1421,0,10.0,-1,0.001,1.0,1,43.1421,6,0.08000000000000006,SAT,,0.028,
81,18,17,54.8063,0,10.0,-1,0.001,1.0,1,54.8063,6,0.08100000000000006,SAT,,0.029,
82,10,43,25.104,0,10.0,-1,0.001,1.0,1,25.104,6,0.08200000000000006,SAT,,0.029,
83,19,41,31.6016,0,10.0,-1,0.001,1.0,1,31.6016,6,0.08300000000000006,SAT,,0.028,
84,10,46,32.0228,0,10.0,-1,0.001,1.0,1,32.0228,6,0.08400000000000006,SAT,,0.03,
85,20,43,0.7794,0,10.0,-1,0.001,1.0,1,0.7794,6,0.08500000000000006,SAT,,0.029,
86,20,17,56.1317,0,10.0,-1,0.001,1.0,1,56.1317,6,0.08600000000000006,SAT,,0.03,
87,20,19,49.4398,0,10.0,-1,0.001,1.0,1,49.4398,6,0.08700000000000006,SAT,,0.029,
88,10,4,79.0167,0,10.0,-1,0.001,1.0,1,79.0167,7,0.08800000000000006,SAT,,0.029,
89,21,44,1.6979,0,10.0,-1,0.001,1.0,1,1.6979,7,0.08900000000000007,SAT,,0.029,
90,21,21,55.2778,0,10.0,-1,0.001,1.0,1,55.2778,7,0.09000000000000007,SAT,,0.029,
91,21,11,111.759,0,10.0,-1,0.001,1.0,1,111.759,7,0.09100000000000007,SAT,,0.029,
92,10,30,21.5784,0,10.0,-1,0.001,1.0,1,21.5784,7,0.09200000000000007,SAT,,0.028,
93,22,17,8.1485,0,10.0,-1,0.001,1.0,1,8.1485,7,0.09300000000000007,SAT,,0.028,
94,22,41,40.4466,0,10.0,-1,0.001,1.0,1,40.4466,7,0.09400000000000007,SAT,,0.029,
95,22,21,16.1644,0,10.0,-1,0.001,1.0,1,16.1644,7,0.09500000000000007,SAT,,0.028,
96,10,56,54.2555,0,10.0,-1,0.001,1.0,1,54.2555,7,0.09600000000000007,SAT,,0.029,
97,23,19,69.0015,0,10.0,-1,0.001,1.0,1,69.0015,7,0.09700000000000007,SAT,,0.028,
98,10,55,53.3798,0,10.0,-1,0.001,1.0,1,53.3798,7,0.09800000000000007,SAT,,0.029,
99,24,41,70.6021,0,10.0,-1,0.001,1.0,1,70.6021,7,0.09900000000000007,SAT,,0.029,
100,10,75,18.7964,0,10.0,-1,0.001,1.0,1,18.7964,8,0.10000000000000007,SAT,,0.028,
101,25,46,4.5272,0,10.0,-1,0.001,1.0,1,4.5272,8,0.10100000000000008,SAT,,0.029,
102,25,51,14.4802,0,10.0,-1,0.001,1.0,1,14.4802,8,0.10200000000000008,SAT,,0.028,
103,25,16,56.4518,0,10.0,-1,0.001,1.0,1,56.4518,8,0.10300000000000008,SAT,,0.028,
104,25,6,143.8137,0,10.0,-1,0.001,1.0,1,143.8137,8,0.10400000000000008,SAT,,0.029,
105,25,44,1.815,0,10.0,-1,0.001,1.0,1,1.815,8,0.10500000000000008,SAT,,0.029,
106,25,43,0.982,0,10.0,-1,0.001,1.0,1,0.982,8,0.10600000000000008,SAT,,0.029,
107,25,72,0.7326,0,10.0,-1,0.001,1.0,1,0.7326,8,0.10700000000000008,SAT,,0.028,
108,25,4,173.6304,0,10.0,-1,0.001,1.0,1,173.6304,8,0.10800000000000008,SAT,,0.029,
109,25,21,41.4388,0,10.0,-1,0.001,1.0,1,41.4388,8,0.10900000000000008,SAT,,0.028,
110,25,33,13.6708,0,10.0,-1,0.001,1.0,1,13.6708,8,0.11000000000000008,SAT,,0.03,
111,25,11,87.7319,0,10.0,-1,0.001,1.0,1,87.7319,8,0.11100000000000008,SAT,,0.028,
112,25,30,21.5839,0,10.0,-1,0.001,1.0,1,21.5839,8,0.11200000000000009,SAT,,0.03,
113,25,50,12.4283,0,10.0,-1,0.001,1.0,1,12.4283,8,0.11300000000000009,SAT,,0.029,
114,25,27,28.9568,0,10.0,-1,0.001,1.0,1,28.9568,8,0.11400000000000009,SAT,,0.029,
115,25,56,21.4572,0,10.0,-1,0.001,1.0,1,21.4572,8,0.11500000000000009,SAT,,0.028,
116,10,66,38.6885,0,10.0,-1,0.001,1.0,1,38.6885,8,0.11600000000000009,SAT,,0.029,
117,26,30,16.9381,0,10.0,-1,0.001,1.0,1,16.9381,8,0.11700000000000009,SAT,,0.029,
118,26,27,21.3031,0,10.0,-1,0.001,1.0,1,21.3031,8,0.11800000000000009,SAT,,0.029,
119,26,50,19.6863,0,10.0,-1,0.001,1.0,1,19.6863,8,0.11900000000000009,SAT,,0.029,
120,26,72,4.717,0,10.0,-1,0.001,1.0,1,4.717,8,0.12000000000000009,SAT,,0.029,
121,26,56,29.523,0,10.0,-1,0.001,1.0,1,29.523,8,0.1210000000000001,SAT,,0.028,
122,26,16,35.0413,0,10.0,-1,0.001,1.0,1,35.0413,8,0.1220000000000001,SAT,,0.029,
123,26,46,10.5382,0,10.0,-1,0.001,1.0,1,10.5382,8,0.1230000000000001,SAT,,0.028,
124,26,64,21.0874,0,10.0,-1,0.001,1.0,1,21.0874,8,0.1240000000000001,SAT,,0.029,
125,26,51,21.9614,0,10.0,-1,0.001,1.0,1,21.9614,8,0.12500000000000008,SAT,,0.029,
126,26,57,29.8921,0,10.0,-1,0.001,1.0,1,29.8921,8,0.12600000000000008,SAT,,0.03,
127,26,43,5.6857,0,10.0,-1,0.001,1.0,1,5.6857,8,0.12700000000000009,SAT,,0.028,
128,26,4,132.3234,0,10.0,-1,0.001,1.0,1,132.3234,8,0.12800000000000009,SAT,,0.03,
129,26,11,58.6512,0,10.0,-1,0.001,1.0,1,58.6512,8,0.1290000000000001,SAT,,0.057,
130,26,44,6.9899,0,10.0,-1,0.001,1.0,1,6.9899,8,0.1300000000000001,SAT,,0.03,
131,26,21,26.8128,0,10.0,-1,0.001,1.0,1,26.8128,8,0.1310000000000001,SAT,,0.03,
132,26,66,16.308,0,10.0,-1,0.001,1.0,1,16.308,8,0.1320000000000001,SAT,,0.055,
133,26,19,29.0222,0,10.0,-1,0.001,1.0,1,29.0222,8,0.1330000000000001,SAT,,0.03,
134,26,55,28.7201,0,10.0,-1,0.001,1.0,1,28.7201,8,0.1340000000000001,SAT,,0.028,
135,26,6,106.177,0,10.0,-1,0.001,1.0,1,106.177,8,0.1350000000000001,SAT,,0.029,
136,26,41,4.1927,0,10.0,-1,0.001,1.0,1,4.1927,8,0.1360000000000001,SAT,,0.028,
137,26,37,5.759,0,10.0,-1,0.001,1.0,1,5.759,8,0.1370000000000001,SAT,,0.028,
138,26,33,11.7139,0,10.0,-1,0.001,1.0,1,11.7139,8,0.1380000000000001,SAT,,0.029,
139,26,58,29.8135,0,10.0,-1,0.001,1.0,1,29.8135,8,0.1390000000000001,SAT,,0.028,
140,26,75,3.3205,0,10.0,-1,0.001,1.0,1,3.3205,8,0.1400000000000001,SAT,,0.028,
141,26,9,74.5635,0,10.0,-1,0.001,1.0,1,74.5635,8,0.1410000000000001,SAT,,0.029,
142,26,17,32.5404,0,10.0,-1,0.001,1.0,1,32.5404,8,0.1420000000000001,SAT,,0.029,
143,26,5,118.7597,0,10.0,-1,0.001,1.0,1,118.7597,8,0.1430000000000001,SAT,,0.029,
144,26,42,4.7462,0,10.0,-1,0.001,1.0,1,4.7462,9,0.1440000000000001,SAT,,0.029,
145,27,44,1.7703,0,10.0,-1,0.001,1.0,1,1.7703,9,0.1450000000000001,SAT,,0.029,
146,27,5,159.0857,0,10.0,-1,0.001,1.0,1,159.0857,9,0.1460000000000001,SAT,,0.029,
147,27,58,21.6581,0,10.0,-1,0.001,1.0,1,21.6581,9,0.1470000000000001,SAT,,0.028,
148,26,10,66.0986,0,10.0,-1,0.001,1.0,1,66.0986,9,0.1480000000000001,SAT,,0.029,
149,28,4,54.5262,0,10.0,-1,0.001,1.0,1,54.5262,9,0.1490000000000001,SAT,,0.03,
150,28,64,64.9393,0,10.0,-1,0.001,1.0,1,64.9393,9,0.1500000000000001,SAT,,0.029,
151,28,72,40.6012,0,10.0,-1,0.001,1.0,1,40.6012,9,0.1510000000000001,SAT,,0.029,
152,26,1,178.5187,0,10.0,-1,0.001,1.0,1,178.5187,9,0.1520000000000001,SAT,,0.029,
153,29,9,107.6841,0,10.0,-1,0.001,1.0,1,107.6841,9,0.1530000000000001,SAT,,0.027,
154,26,2,162.244,0,10.0,-1,0.001,1.0,1,162.244,9,0.1540000000000001,SAT,,0.029,
155,30,33,15.7477,0,10.0,-1,0.001,1.0,1,15.7477,9,0.1550000000000001,SAT,,0.029,
156,26,73,3.8494,0,10.0,-1,0.001,1.0,1,3.8494,10,0.1560000000000001,SAT,,0.028,
157,31,57,31.2145,0,10.0,-1,0.001,1.0,1,31.2145,10,0.1570000000000001,SAT,,0.029,
158,26,76,3.6547,0,10.0,-1,0.001,1.0,1,3.6547,10,0.1580000000000001,SAT,,0.03,
159,32,19,11.6774,0,10.0,-1,0.001,1.0,1,11.6774,10,0.1590000000000001,SAT,,0.029,
160,32,5,50.1156,0,10.0,-1,0.001,1.0,1,50.1156,10,0.16000000000000011,SAT,,0.029,
161,32,10,17.616,0,10.0,-1,0.001,1.0,1,17.616,10,0.16100000000000012,SAT,,0.028,
162,32,2,80.5215,0,10.0,-1,0.001,1.0,1,80.5215,10,0.16200000000000012,SAT,,0.029,
163,32,4,59.4016,0,10.0,-1,0.001,1.0,1,59.4016,10,0.16300000000000012,SAT,,0.029,
164,32,11,13.9555,0,10.0,-1,0.001,1.0,1,13.9555,10,0.16400000000000012,SAT,,0.029,
165,32,30,28.6537,0,10.0,-1,0.001,1.0,1,28.6537,10,0.16500000000000012,SAT,,0.029,
166,32,21,15.4879,0,10.0,-1,0.001,1.0,1,15.4879,10,0.16600000000000012,SAT,,0.029,
167,32,33,29.6375,0,10.0,-1,0.001,1.0,1,29.6375,10,0.16700000000000012,SAT,,0.03,
168,32,44,41.3779,0,10.0,-1,0.001,1.0,1,41.3779,10,0.16800000000000012,SAT,,0.03,
169,32,41,35.0719,0,10.0,-1,0.001,1.0,1,35.0719,10,0.16900000000000012,SAT,,0.029,
170,32,76,29.6671,0,10.0,-1,0.001,1.0,1,29.6671,10,0.17000000000000012,SAT,,0.029,
171,32,43,38.9859,0,10.0,-1,0.001,1.0,1,38.9859,10,0.17100000000000012,SAT,,0.029,
172,32,17,8.8487,0,10.0,-1,0.001,1.0,1,8.8487,10,0.17200000000000013,SAT,,0.036,
173,32,9,22.2122,0,10.0,-1,0.001,1.0,1,22.2122,10,0.17300000000000013,SAT,,0.03,
174,32,51,61.6741,0,10.0,-1,0.001,1.0,1,61.6741,10,0.17400000000000013,SAT,,0.029,
175,32,27,26.0746,0,10.0,-1,0.001,1.0,1,26.0746,10,0.17500000000000013,SAT,,0.03,
176,32,64,60.0557,0,10.0,-1,0.001,1.0,1,60.0557,10,0.17600000000000013,SAT,,0.029,
177,32,57,70.9788,0,10.0,-1,0.001,1.0,1,70.9788,10,0.17700000000000013,SAT,,0.029,
178,32,42,36.8768,0,10.0,-1,0.001,1.0,1,36.8768,10,0.17800000000000013,SAT,,0.031,
179,32,37,30.8147,0,10.0,-1,0.001,1.0,1,30.8147,10,0.17900000000000013,SAT,,0.029,
180,32,46,46.8565,0,10.0,-1,0.001,1.0,1,46.8565,10,0.18000000000000013,SAT,,0.029,
181,32,1,92.2731,0,10.0,-1,0.001,1.0,1,92.2731,10,0.18100000000000013,SAT,,0.03,
182,32,16,8.0534,0,10.0,-1,0.001,1.0,1,8.0534,10,0.18200000000000013,SAT,,0.029,
183,32,50,58.8837,0,10.0,-1,0.001,1.0,1,58.8837,10,0.18300000000000013,SAT,,0.057,
184,32,58,70.8429,0,10.0,-1,0.001,1.0,1,70.8429,10,0.18400000000000014,SAT,,0.029,
185,32,55,69.6759,0,10.0,-1,0.001,1.0,1,69.6759,10,0.18500000000000014,SAT,,0.028,
186,32,66,53.9349,0,10.0,-1,0.001,1.0,1,53.9349,10,0.18600000000000014,SAT,,0.028,
187,32,72,36.3567,0,10.0,-1,0.001,1.0,1,36.3567,10,0.18700000000000014,SAT,,0.03,
188,32,75,30.8625,0,10.0,-1,0.001,1.0,1,30.8625,10,0.18800000000000014,SAT,,0.029,
189,32,56,70.5851,0,10.0,-1,0.001,1.0,1,70.5851,10,0.18900000000000014,SAT,,0.028,
190,26,54,27.5129,0,10.0,-1,0.001,1.0,1,27.5129,11,0.19000000000000014,SAT,,0.029,
191,33,56,21.4262,0,10.0,-1,0.001,1.0,1,21.4262,11,0.19100000000000014,SAT,,0.029,
192,33,41,0.5335,0,10.0,-1,0.001,1.0,1,0.5335,11,0.19200000000000014,SAT,,0.028,
193,33,4,173.8991,0,10.0,-1,0.001,1.0,1,173.8991,11,0.19300000000000014,SAT,,0.029,
194,26,7,94.6052,0,10.0,-1,0.001,1.0,1,94.6052,11,0.19400000000000014,SAT,,0.028,
195,34,4,100.855,0,10.0,-1,0.001,1.0,1,100.855,11,0.19500000000000015,SAT,,0.029,
196,34,64,32.2379,0,10.0,-1,0.001,1.0,1,32.2379,11,0.19600000000000015,SAT,,0.029,
197,34,41,12.2621,0,10.0,-1,0.001,1.0,1,12.2621,11,0.19700000000000015,SAT,,0.028,
198,34,33,14.8485,0,10.0,-1,0.001,1.0,1,14.8485,11,0.19800000000000015,SAT,,0.028,
199,34,51,33.3954,0,10.0,-1,0.001,1.0,1,33.3954,11,0.19900000000000015,SAT,,0.029,
200,34,27,19.428,0,10.0,-1,0.001,1.0,1,19.428,11,0.20000000000000015,SAT,,0.029,
201,34,5,88.9207,0,10.0,-1,0.001,1.0,1,88.9207,11,0.20100000000000015,SAT,,0.028,
